LAU121CD,LAU121NM,ITL321CD,ITL321NM,ITL221CD,ITL221NM,ITL121CD,ITL121NM
E07000189,South Somerset,TLK23,Somerset CC,TLK2,Dorset and Somerset,TLK,South West (England)
E07000192,Cannock Chase,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E07000193,East Staffordshire,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E07000194,Lichfield,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E07000195,Newcastle-under-Lyme,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E07000196,South Staffordshire,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E07000197,Stafford,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E07000198,Staffordshire Moorlands,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E07000199,Tamworth,TLG24,Staffordshire CC,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E07000200,Babergh,TLH14,Suffolk CC,TLH1,East Anglia,TLH,East
E07000202,Ipswich,TLH14,Suffolk CC,TLH1,East Anglia,TLH,East
E07000203,Mid Suffolk,TLH14,Suffolk CC,TLH1,East Anglia,TLH,East
E07000207,Elmbridge,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000208,Epsom and Ewell,TLJ26,East Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000209,Guildford,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000210,Mole Valley,TLJ26,East Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000211,Reigate and Banstead,TLJ26,East Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000212,Runnymede,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000213,Spelthorne,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000214,Surrey Heath,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000215,Tandridge,TLJ26,East Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000216,Waverley,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000217,Woking,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000218,North Warwickshire,TLG13,Warwickshire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000219,Nuneaton and Bedworth,TLG13,Warwickshire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000220,Rugby,TLG13,Warwickshire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000221,Stratford-on-Avon,TLG13,Warwickshire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000222,Warwick,TLG13,Warwickshire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000223,Adur,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000224,Arun,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000225,Chichester,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000226,Crawley,TLJ28,West Sussex (North East),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000227,Horsham,TLJ28,West Sussex (North East),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000228,Mid Sussex,TLJ28,West Sussex (North East),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000229,Worthing,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
E07000234,Bromsgrove,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000235,Malvern Hills,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000236,Redditch,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000237,Worcester,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000238,Wychavon,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000239,Wyre Forest,TLG12,Worcestershire CC,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E07000240,St Albans,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East
E07000241,Welwyn Hatfield,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East
E07000242,East Hertfordshire,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East
E07000243,Stevenage,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East
E07000244,East Suffolk,TLH14,Suffolk CC,TLH1,East Anglia,TLH,East
E07000245,West Suffolk,TLH14,Suffolk CC,TLH1,East Anglia,TLH,East
E07000246,Somerset West and Taunton,TLK23,Somerset CC,TLK2,Dorset and Somerset,TLK,South West (England)
E08000001,Bolton,TLD36,Greater Manchester North West,TLD3,Greater Manchester,TLD,North West (England)
E08000002,Bury,TLD37,Greater Manchester North East,TLD3,Greater Manchester,TLD,North West (England)
E08000003,Manchester,TLD33,Manchester,TLD3,Greater Manchester,TLD,North West (England)
E08000004,Oldham,TLD37,Greater Manchester North East,TLD3,Greater Manchester,TLD,North West (England)
E08000005,Rochdale,TLD37,Greater Manchester North East,TLD3,Greater Manchester,TLD,North West (England)
E08000006,Salford,TLD34,Greater Manchester South West,TLD3,Greater Manchester,TLD,North West (England)
E08000007,Stockport,TLD35,Greater Manchester South East,TLD3,Greater Manchester,TLD,North West (England)
E08000008,Tameside,TLD35,Greater Manchester South East,TLD3,Greater Manchester,TLD,North West (England)
E08000009,Trafford,TLD34,Greater Manchester South West,TLD3,Greater Manchester,TLD,North West (England)
E08000010,Wigan,TLD36,Greater Manchester North West,TLD3,Greater Manchester,TLD,North West (England)
E08000011,Knowsley,TLD71,East Merseyside,TLD7,Merseyside,TLD,North West (England)
E08000012,Liverpool,TLD72,Liverpool,TLD7,Merseyside,TLD,North West (England)
E08000013,St. Helens,TLD71,East Merseyside,TLD7,Merseyside,TLD,North West (England)
E08000014,Sefton,TLD73,Sefton,TLD7,Merseyside,TLD,North West (England)
E08000015,Wirral,TLD74,Wirral,TLD7,Merseyside,TLD,North West (England)
E08000016,Barnsley,TLE31,"Barnsley, Doncaster and Rotherham",TLE3,South Yorkshire,TLE,Yorkshire and The Humber
E08000017,Doncaster,TLE31,"Barnsley, Doncaster and Rotherham",TLE3,South Yorkshire,TLE,Yorkshire and The Humber
E08000018,Rotherham,TLE31,"Barnsley, Doncaster and Rotherham",TLE3,South Yorkshire,TLE,Yorkshire and The Humber
E08000019,Sheffield,TLE32,Sheffield,TLE3,South Yorkshire,TLE,Yorkshire and The Humber
E08000021,Newcastle upon Tyne,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England)
E08000022,North Tyneside,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England)
E08000023,South Tyneside,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England)
E08000024,Sunderland,TLC23,Sunderland,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England)
E08000025,Birmingham,TLG31,Birmingham,TLG3,West Midlands,TLG,West Midlands (England)
E08000026,Coventry,TLG33,Coventry,TLG3,West Midlands,TLG,West Midlands (England)
E08000027,Dudley,TLG36,Dudley,TLG3,West Midlands,TLG,West Midlands (England)
E08000028,Sandwell,TLG37,Sandwell,TLG3,West Midlands,TLG,West Midlands (England)
E08000029,Solihull,TLG32,Solihull,TLG3,West Midlands,TLG,West Midlands (England)
E08000030,Walsall,TLG38,Walsall,TLG3,West Midlands,TLG,West Midlands (England)
E08000031,Wolverhampton,TLG39,Wolverhampton,TLG3,West Midlands,TLG,West Midlands (England)
E08000032,Bradford,TLE41,Bradford,TLE4,West Yorkshire,TLE,Yorkshire and The Humber
E08000033,Calderdale,TLE44,Calderdale and Kirklees,TLE4,West Yorkshire,TLE,Yorkshire and The Humber
E08000034,Kirklees,TLE44,Calderdale and Kirklees,TLE4,West Yorkshire,TLE,Yorkshire and The Humber
E08000035,Leeds,TLE42,Leeds,TLE4,West Yorkshire,TLE,Yorkshire and The Humber
E08000036,Wakefield,TLE45,Wakefield,TLE4,West Yorkshire,TLE,Yorkshire and The Humber
E08000037,Gateshead,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England)
E09000001,City of London,TLI31,Camden and City of London,TLI3,Inner London - West,TLI,London
E09000002,Barking and Dagenham,TLI52,Barking & Dagenham and Havering,TLI5,Outer London - East and North East,TLI,London
E09000003,Barnet,TLI71,Barnet,TLI7,Outer London - West and North West,TLI,London
E09000004,Bexley,TLI51,Bexley and Greenwich,TLI5,Outer London - East and North East,TLI,London
E09000005,Brent,TLI72,Brent,TLI7,Outer London - West and North West,TLI,London
E09000006,Bromley,TLI61,Bromley,TLI6,Outer London - South,TLI,London
E09000007,Camden,TLI31,Camden and City of London,TLI3,Inner London - West,TLI,London
E09000008,Croydon,TLI62,Croydon,TLI6,Outer London - South,TLI,London
E09000009,Ealing,TLI73,Ealing,TLI7,Outer London - West and North West,TLI,London
E09000010,Enfield,TLI54,Enfield,TLI5,Outer London - East and North East,TLI,London
E09000011,Greenwich,TLI51,Bexley and Greenwich,TLI5,Outer London - East and North East,TLI,London
E09000012,Hackney,TLI41,Hackney and Newham,TLI4,Inner London - East,TLI,London
E09000013,Hammersmith and Fulham,TLI33,Kensington & Chelsea and Hammersmith & Fulham,TLI3,Inner London - West,TLI,London
E09000014,Haringey,TLI43,Haringey and Islington,TLI4,Inner London - East,TLI,London
E09000015,Harrow,TLI74,Harrow and Hillingdon,TLI7,Outer London - West and North West,TLI,London
E09000016,Havering,TLI52,Barking & Dagenham and Havering,TLI5,Outer London - East and North East,TLI,London
E09000017,Hillingdon,TLI74,Harrow and Hillingdon,TLI7,Outer London - West and North West,TLI,London
E09000018,Hounslow,TLI75,Hounslow and Richmond upon Thames,TLI7,Outer London - West and North West,TLI,London
E09000019,Islington,TLI43,Haringey and Islington,TLI4,Inner London - East,TLI,London
E09000020,Kensington and Chelsea,TLI33,Kensington & Chelsea and Hammersmith & Fulham,TLI3,Inner London - West,TLI,London
E09000021,Kingston upon Thames,TLI63,"Merton, Kingston upon Thames and Sutton",TLI6,Outer London - South,TLI,London
E09000022,Lambeth,TLI45,Lambeth,TLI4,Inner London - East,TLI,London
E09000023,Lewisham,TLI44,Lewisham and Southwark,TLI4,Inner London - East,TLI,London
E09000024,Merton,TLI63,"Merton, Kingston upon Thames and Sutton",TLI6,Outer London - South,TLI,London
E09000025,Newham,TLI41,Hackney and Newham,TLI4,Inner London - East,TLI,London
E09000026,Redbridge,TLI53,Redbridge and Waltham Forest,TLI5,Outer London - East and North East,TLI,London
E09000027,Richmond upon Thames,TLI75,Hounslow and Richmond upon Thames,TLI7,Outer London - West and North West,TLI,London
E09000028,Southwark,TLI44,Lewisham and Southwark,TLI4,Inner London - East,TLI,London
E09000029,Sutton,TLI63,"Merton, Kingston upon Thames and Sutton",TLI6,Outer London - South,TLI,London
E09000030,Tower Hamlets,TLI42,Tower Hamlets,TLI4,Inner London - East,TLI,London
E09000031,Waltham Forest,TLI53,Redbridge and Waltham Forest,TLI5,Outer London - East and North East,TLI,London
E09000032,Wandsworth,TLI34,Wandsworth,TLI3,Inner London - West,TLI,London
E09000033,Westminster,TLI32,Westminster,TLI3,Inner London - West,TLI,London
N09000001,Antrim and Newtownabbey,TLN13,Antrim and Newtownabbey,TLN0,Northern Ireland,TLN,Northern Ireland
N09000002,"Armagh City, Banbridge and Craigavon",TLN07,"Armagh City, Banbridge and Craigavon",TLN0,Northern Ireland,TLN,Northern Ireland
N09000003,Belfast,TLN06,Belfast,TLN0,Northern Ireland,TLN,Northern Ireland
N09000004,Causeway Coast and Glens,TLN12,Causeway Coast and Glens,TLN0,Northern Ireland,TLN,Northern Ireland
N09000005,Derry City and Strabane,TLN10,Derry City and Strabane,TLN0,Northern Ireland,TLN,Northern Ireland
N09000006,Fermanagh and Omagh,TLN16,Fermanagh and Omagh,TLN0,Northern Ireland,TLN,Northern Ireland
N09000007,Lisburn and Castlereagh,TLN14,Lisburn and Castlereagh,TLN0,Northern Ireland,TLN,Northern Ireland
N09000008,Mid and East Antrim,TLN15,Mid and East Antrim,TLN0,Northern Ireland,TLN,Northern Ireland
N09000009,Mid Ulster,TLN11,Mid Ulster,TLN0,Northern Ireland,TLN,Northern Ireland
N09000010,"Newry, Mourne and Down",TLN08,"Newry, Mourne and Down",TLN0,Northern Ireland,TLN,Northern Ireland
N09000011,Ards and North Down,TLN09,Ards and North Down,TLN0,Northern Ireland,TLN,Northern Ireland
S30000003,Clackmannanshire,TLM72,Clackmannanshire and Fife,TLM7,Eastern Scotland,TLM,Scotland
S30000005,East Lothian,TLM73,East Lothian and Midlothian,TLM7,Eastern Scotland,TLM,Scotland
S30000006,Midlothian,TLM73,East Lothian and Midlothian,TLM7,Eastern Scotland,TLM,Scotland
S30000007,Scottish Borders,TLM91,Scottish Borders,TLM9,Southern Scotland,TLM,Scotland
S30000008,City of Edinburgh,TLM75,City of Edinburgh,TLM7,Eastern Scotland,TLM,Scotland
S30000009,Falkirk,TLM76,Falkirk,TLM7,Eastern Scotland,TLM,Scotland
S30000011,Stirling,TLM77,"Perth and Kinross, and Stirling",TLM7,Eastern Scotland,TLM,Scotland
S30000012,West Lothian,TLM78,West Lothian,TLM7,Eastern Scotland,TLM,Scotland
S30000013,Helensburgh and Lomond,TLM81,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",TLM8,West Central Scotland,TLM,Scotland
S30000014,West Dunbartonshire,TLM81,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",TLM8,West Central Scotland,TLM,Scotland
S30000016,Dumfries and Galloway,TLM92,Dumfries and Galloway,TLM9,Southern Scotland,TLM,Scotland
S30000017,East Ayrshire,TLM93,East Ayrshire and North Ayrshire mainland,TLM9,Southern Scotland,TLM,Scotland
S30000018,North Ayrshire mainland,TLM93,East Ayrshire and North Ayrshire mainland,TLM9,Southern Scotland,TLM,Scotland
S30000020,East Renfrewshire,TLM83,"Inverclyde, East Renfrewshire, and Renfrewshire",TLM8,West Central Scotland,TLM,Scotland
S30000021,Renfrewshire,TLM83,"Inverclyde, East Renfrewshire, and Renfrewshire",TLM8,West Central Scotland,TLM,Scotland
S30000022,Inverclyde,TLM83,"Inverclyde, East Renfrewshire, and Renfrewshire",TLM8,West Central Scotland,TLM,Scotland
S30000024,South Ayrshire,TLM94,South Ayrshire,TLM9,Southern Scotland,TLM,Scotland
S30000025,South Lanarkshire,TLM95,South Lanarkshire,TLM9,Southern Scotland,TLM,Scotland
S30000026,Aberdeen City,TLM50,Aberdeen City and Aberdeenshire,TLM5,North Eastern Scotland,TLM,Scotland
S30000027,Aberdeenshire,TLM50,Aberdeen City and Aberdeenshire,TLM5,North Eastern Scotland,TLM,Scotland
S30000028,Ross and Cromarty,TLM61,"Caithness and Sutherland, and Ross and Cromarty",TLM6,Highlands and Islands,TLM,Scotland
S30000029,Caithness and Sutherland,TLM61,"Caithness and Sutherland, and Ross and Cromarty",TLM6,Highlands and Islands,TLM,Scotland
S30000030,Inverness and Nairn,TLM62,"Inverness and Nairn, Moray, and Badenoch and Strathspey",TLM6,Highlands and Islands,TLM,Scotland
S30000031,Badenoch and Strathspey,TLM62,"Inverness and Nairn, Moray, and Badenoch and Strathspey",TLM6,Highlands and Islands,TLM,Scotland
S30000032,West Moray,TLM62,"Inverness and Nairn, Moray, and Badenoch and Strathspey",TLM6,Highlands and Islands,TLM,Scotland
S30000033,North East Moray,TLM62,"Inverness and Nairn, Moray, and Badenoch and Strathspey",TLM6,Highlands and Islands,TLM,Scotland
S30000034,Arran and Cumbrae,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",TLM6,Highlands and Islands,TLM,Scotland
S30000035,Argyll and Bute Islands,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",TLM6,Highlands and Islands,TLM,Scotland
S30000036,Argyll and Bute Mainland,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",TLM6,Highlands and Islands,TLM,Scotland
S30000037,Lochaber,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",TLM6,Highlands and Islands,TLM,Scotland
S30000038,Skye and Lochalsh,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",TLM6,Highlands and Islands,TLM,Scotland
S30000039,Na h-Eileanan Siar,TLM64,Na h-Eileanan Siar,TLM6,Highlands and Islands,TLM,Scotland
S30000040,Orkney Islands,TLM65,Orkney Islands,TLM6,Highlands and Islands,TLM,Scotland
S30000041,Shetland Islands,TLM66,Shetland Islands,TLM6,Highlands and Islands,TLM,Scotland
S30000042,Fife,TLM72,Clackmannanshire and Fife,TLM7,Eastern Scotland,TLM,Scotland
S30000043,Perth and Kinross,TLM77,"Perth and Kinross, and Stirling",TLM7,Eastern Scotland,TLM,Scotland
S30000048,Angus,TLM71,Angus and Dundee City,TLM7,Eastern Scotland,TLM,Scotland
S30000049,Dundee City,TLM71,Angus and Dundee City,TLM7,Eastern Scotland,TLM,Scotland
S30000050,East Dunbartonshire,TLM81,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",TLM8,West Central Scotland,TLM,Scotland
S30000052,Glasgow City,TLM82,Glasgow City,TLM8,West Central Scotland,TLM,Scotland
S30000053,North Lanarkshire,TLM84,North Lanarkshire,TLM8,West Central Scotland,TLM,Scotland
W06000001,Isle of Anglesey,TLL11,Isle of Anglesey,TLL1,West Wales and The Valleys,TLL,Wales
W06000002,Gwynedd,TLL12,Gwynedd,TLL1,West Wales and The Valleys,TLL,Wales
W06000003,Conwy,TLL13,Conwy and Denbighshire,TLL1,West Wales and The Valleys,TLL,Wales
W06000004,Denbighshire,TLL13,Conwy and Denbighshire,TLL1,West Wales and The Valleys,TLL,Wales
W06000005,Flintshire,TLL23,Flintshire and Wrexham,TLL2,East Wales,TLL,Wales
W06000006,Wrexham,TLL23,Flintshire and Wrexham,TLL2,East Wales,TLL,Wales
W06000008,Ceredigion,TLL14,South West Wales,TLL1,West Wales and The Valleys,TLL,Wales
W06000009,Pembrokeshire,TLL14,South West Wales,TLL1,West Wales and The Valleys,TLL,Wales
W06000010,Carmarthenshire,TLL14,South West Wales,TLL1,West Wales and The Valleys,TLL,Wales
W06000011,Swansea,TLL18,Swansea,TLL1,West Wales and The Valleys,TLL,Wales
W06000012,Neath Port Talbot,TLL17,Bridgend and Neath Port Talbot,TLL1,West Wales and The Valleys,TLL,Wales
W06000013,Bridgend,TLL17,Bridgend and Neath Port Talbot,TLL1,West Wales and The Valleys,TLL,Wales
W06000014,Vale of Glamorgan,TLL22,Cardiff and Vale of Glamorgan,TLL2,East Wales,TLL,Wales
W06000015,Cardiff,TLL22,Cardiff and Vale of Glamorgan,TLL2,East Wales,TLL,Wales
W06000016,Rhondda Cynon Taf,TLL15,Central Valleys,TLL1,West Wales and The Valleys,TLL,Wales
W06000018,Caerphilly,TLL16,Gwent Valleys,TLL1,West Wales and The Valleys,TLL,Wales
W06000019,Blaenau Gwent,TLL16,Gwent Valleys,TLL1,West Wales and The Valleys,TLL,Wales
W06000020,Torfaen,TLL16,Gwent Valleys,TLL1,West Wales and The Valleys,TLL,Wales
W06000021,Monmouthshire,TLL21,Monmouthshire and Newport,TLL2,East Wales,TLL,Wales
W06000022,Newport,TLL21,Monmouthshire and Newport,TLL2,East Wales,TLL,Wales
W06000023,Powys,TLL24,Powys,TLL2,East Wales,TLL,Wales
W06000024,Merthyr Tydfil,TLL15,Central Valleys,TLL1,West Wales and The Valleys,TLL,Wales
L99999999,(pseudo) Channel Islands,,,,,,
M99999999,(pseudo) Isle of Man,,,,,,
